Data da Medição;Número do veículo;Número do eixo do trem;Veículo;Número do eixo do veículo;Lateral do veículo;Velocidade do eixo;Extremidade do eixo;Direção;Lateral da linha;Falha de rolamento;Alerta de rolamento;Consistente;Achatamento de pista de roda;ErsDB
2022-02-02 04:08:00;46;188;612934;4,0;R;52;A;Sentido RJ;Proximo;.;0;;.;57
2022-02-02 20:46:00;124;497;734879;1,0;L;46;A;Sentido RJ;Distante;.;0;;.;54
2022-02-02 20:46:00;124;497;734879;1,0;R;46;A;Sentido RJ;Proximo;.;0;;.;57
2022-02-02 20:46:00;124;498;734879;2,0;L;46;A;Sentido RJ;Distante;.;0;;;51
2022-02-02 20:46:00;124;498;734879;2,0;R;46;A;Sentido RJ;Proximo;.;0;;.;56
2022-02-02 20:46:00;124;499;734879;3,0;L;46;A;Sentido RJ;Distante;.;0;;.;55
2022-02-02 20:46:00;124;499;734879;3,0;R;46;A;Sentido RJ;Proximo;.;0;;.;54
2022-02-02 20:46:00;124;500;734879;4,0;L;46;A;Sentido RJ;Distante;RS3;0;False;.;56
2022-02-02 20:46:00;124;500;734879;4,0;R;46;A;Sentido RJ;Proximo;RS2;0;False;.;58
2022-05-02 12:34:00;27;109;612934;4,0;R;54;B;Sentido RJ;Distante;.;0;;.;57
2022-05-02 12:34:00;27;109;612934;4,0;L;54;B;Sentido RJ;Proximo;.;0;;.;60
2022-05-02 12:34:00;27;110;612934;3,0;R;54;B;Sentido RJ;Distante;.;0;;.;54
2022-05-02 12:34:00;27;110;612934;3,0;L;54;B;Sentido RJ;Proximo;.;0;;.;59
2022-05-02 12:34:00;27;111;612934;2,0;R;54;B;Sentido RJ;Distante;.;0;;.;56
2022-05-02 12:34:00;27;111;612934;2,0;L;54;B;Sentido RJ;Proximo;.;0;;.;56
2022-05-02 12:34:00;27;112;612934;1,0;R;54;B;Sentido RJ;Distante;RS3;0;False;.;59
2022-05-02 12:34:00;27;112;612934;1,0;L;54;B;Sentido RJ;Proximo;RS3;0;False;.;61
2022-06-02 01:32:00;71;285;734879;4,0;R;50;B;Sentido RJ;Distante;.;0;;.;55
2022-06-02 01:32:00;71;285;734879;4,0;L;50;B;Sentido RJ;Proximo;.;0;;.;58
2022-06-02 01:32:00;71;286;734879;3,0;R;50;B;Sentido RJ;Distante;.;0;;.;52
2022-06-02 01:32:00;71;286;734879;3,0;L;50;B;Sentido RJ;Proximo;RS3;0;False;.;55
2022-06-02 01:32:00;71;287;734879;2,0;R;50;B;Sentido RJ;Distante;.;0;;.;51
2022-06-02 01:32:00;71;287;734879;2,0;L;50;B;Sentido RJ;Proximo;RS3;0;False;.;54
2022-06-02 01:32:00;71;288;734879;1,0;R;50;B;Sentido RJ;Distante;RS3;0;False;.;55
2022-06-02 01:32:00;71;288;734879;1,0;L;50;B;Sentido RJ;Proximo;.;0;;.;57
2022-08-02 07:46:00;27;109;612934;4,0;R;54;B;Sentido RJ;Distante;RS3;0;False;.;56
2022-08-02 07:46:00;27;109;612934;4,0;L;54;B;Sentido RJ;Proximo;RS3;0;False;.;60
2022-08-02 07:46:00;27;110;612934;3,0;R;54;B;Sentido RJ;Distante;.;0;;.;56
