Trem_;Veículo_;Rodeiro Veículo_;Média Rolamento Esquerdo (°C)_delta;Média Rolamento Direito (°C)_delta;DP Rolamento Esquerdo (°C)_delta;DP Rolamento Direito (°C)_delta;Rolamento Esquerdo (°C)_delta;Rolamento Direito (°C)_delta;Média Roda Esquerda (°C)_delta;Média Roda Direita (°C)_delta;DP Roda Esquerda (°C)_delta;DP Roda Direita (°C)_delta;Roda Esquerda (°C)_delta;Roda Direita (°C)_delta
NEL0308;734879;1;17,26;17,700000000000003;1,7799999999999998;2,48;25;20;107,65;124,64;21,71;21,249999999999996;98,0;134,0
NEL0308;734879;2;17,26;17,700000000000003;1,7799999999999998;2,48;18;27;107,65;124,64;21,71;21,249999999999996;216,0;56,0
NEL0308;734879;3;17,26;17,700000000000003;1,7799999999999998;2,48;16;21;107,65;124,64;21,71;21,249999999999996;168,0;119,0
NEL0308;734879;4;17,26;17,700000000000003;1,7799999999999998;2,48;15;27;107,65;124,64;21,71;21,249999999999996;154,0;201,0
NEL0344;612934;1;22,020000000000003;22,990000000000002;3,92;4,37;29;27;115,0;123,38;22,11;21,099999999999998;62,0;134,0
NEL0344;612934;2;22,020000000000003;22,990000000000002;3,92;4,37;13;16;115,0;123,38;22,11;21,099999999999998;103,0;136,0
NEL0344;612934;3;22,020000000000003;22,990000000000002;3,92;4,37;23;27;115,0;123,38;22,11;21,099999999999998;138,0;99,0
NEL0344;612934;4;22,020000000000003;22,990000000000002;3,92;4,37;29;24;115,0;123,38;22,11;21,099999999999998;130,0;124,0
NEL0344;734879;1;22,020000000000003;22,990000000000002;3,92;4,37;29;25;115,0;123,38;22,11;21,099999999999998;95,0;99,0
NEL0344;734879;2;22,020000000000003;22,990000000000002;3,92;4,37;32;26;115,0;123,38;22,11;21,099999999999998;59,0;170,0
NEL0344;734879;3;22,020000000000003;22,990000000000002;3,92;4,37;23;21;115,0;123,38;22,11;21,099999999999998;74,0;69,0
NEL0344;734879;4;22,020000000000003;22,990000000000002;3,92;4,37;31;26;115,0;123,38;22,11;21,099999999999998;76,0;82,0
NEL3116;612934;1;25,66;24,55;3,6;2,78;26;29;61,33;69,87;13,589999999999998;8,309999999999999;58,0;71,0
NEL3116;612934;2;25,66;24,55;3,6;2,78;21;22;61,33;69,87;13,589999999999998;8,309999999999999;78,0;64,0
NEL3116;612934;3;25,66;24,55;3,6;2,78;27;26;61,33;69,87;13,589999999999998;8,309999999999999;54,0;80,0
NEL3116;612934;4;25,66;24,55;3,6;2,78;28;26;61,33;69,87;13,589999999999998;8,309999999999999;60,0;43,0
NEL3116;734879;1;25,66;24,55;3,6;2,78;27;20;61,33;69,87;13,589999999999998;8,309999999999999;78,0;101,0
NEL3116;734879;2;25,66;24,55;3,6;2,78;32;29;61,33;69,87;13,589999999999998;8,309999999999999;92,0;99,0
NEL3116;734879;3;25,66;24,55;3,6;2,78;32;27;61,33;69,87;13,589999999999998;8,309999999999999;74,0;104,0
NEL3116;734879;4;25,66;24,55;3,6;2,78;29;31;61,33;69,87;13,589999999999998;8,309999999999999;65,0;123,0
NEL3144;612934;1;21,159999999999997;18,43;4,14;3,05;17;17;103,93;113,44;20,68;19,490000000000002;76,0;110,0
NEL3144;612934;2;21,159999999999997;18,43;4,14;3,05;28;19;103,93;113,44;20,68;19,490000000000002;122,0;130,0
NEL3144;612934;3;21,159999999999997;18,43;4,14;3,05;28;18;103,93;113,44;20,68;19,490000000000002;103,0;107,0
NEL3144;612934;4;21,159999999999997;18,43;4,14;3,05;16;21;103,93;113,44;20,68;19,490000000000002;100,0;110,0
NEL3144;734879;1;21,159999999999997;18,43;4,14;3,05;23;21;103,93;113,44;20,68;19,490000000000002;88,0;123,0
NEL3144;734879;2;21,159999999999997;18,43;4,14;3,05;24;26;103,93;113,44;20,68;19,490000000000002;108,0;100,0
NEL3144;734879;3;21,159999999999997;18,43;4,14;3,05;18;16;103,93;113,44;20,68;19,490000000000002;113,0;101,0
NEL3144;734879;4;21,159999999999997;18,43;4,14;3,05;32;22;103,93;113,44;20,68;19,490000000000002;139,0;125,0
NFG0106;612934;1;24,130000000000003;19,54;3,49;3,27;30;31;105,29;118,01;29,310000000000002;27,049999999999997;67,0;89,0
NFG0106;612934;2;24,130000000000003;19,54;3,49;3,27;19;18;105,29;118,01;29,310000000000002;27,049999999999997;52,0;75,0
NFG0106;612934;3;24,130000000000003;19,54;3,49;3,27;30;27;105,29;118,01;29,310000000000002;27,049999999999997;80,0;99,0
NFG0106;612934;4;24,130000000000003;19,54;3,49;3,27;29;31;105,29;118,01;29,310000000000002;27,049999999999997;75,0;120,0
NFG0106;734879;1;24,130000000000003;19,54;3,49;3,27;30;21;105,29;118,01;29,310000000000002;27,049999999999997;39,0;60,0
NFG0106;734879;2;24,130000000000003;19,54;3,49;3,27;28;25;105,29;118,01;29,310000000000002;27,049999999999997;114,0;85,0
NFG0106;734879;3;24,130000000000003;19,54;3,49;3,27;25;19;105,29;118,01;29,310000000000002;27,049999999999997;39,0;75,0
NFG0106;734879;4;24,130000000000003;19,54;3,49;3,27;25;27;105,29;118,01;29,310000000000002;27,049999999999997;88,0;61,0
NFG0156;612934;1;24,12;21,0;3,0199999999999996;2,5500000000000003;33;25;59,30000000000001;66,37999999999998;16,050000000000004;16,9;90,0;68,0
NFG0156;612934;2;24,12;21,0;3,0199999999999996;2,5500000000000003;24;25;59,30000000000001;66,37999999999998;16,050000000000004;16,9;3,0;59,0
NFG0156;612934;3;24,12;21,0;3,0199999999999996;2,5500000000000003;31;22;59,30000000000001;66,37999999999998;16,050000000000004;16,9;109,0;91,0
NFG0156;612934;4;24,12;21,0;3,0199999999999996;2,5500000000000003;32;25;59,30000000000001;66,37999999999998;16,050000000000004;16,9;86,0;23,0
NFG0156;734879;1;24,12;21,0;3,0199999999999996;2,5500000000000003;22;21;59,30000000000001;66,37999999999998;16,050000000000004;16,9;43,0;44,0
NFG0156;734879;2;24,12;21,0;3,0199999999999996;2,5500000000000003;39;35;59,30000000000001;66,37999999999998;16,050000000000004;16,9;41,0;80,0
NFG0156;734879;3;24,12;21,0;3,0199999999999996;2,5500000000000003;32;27;59,30000000000001;66,37999999999998;16,050000000000004;16,9;70,0;60,0
