Trem_,Veículo_,Rodeiro Veículo_,Média Rolamento Esquerdo Trem (°C)_delta,Média Rolamento Direito Trem (°C)_delta,DP Rolamento Esquerdo Trem (°C)_delta,DP Rolamento Direito Trem (°C)_delta,Rolamento Esquerdo vagão (°C)_delta,Rolamento Direito vagão (°C)_delta,Média Roda Esquerda Trem (°C)_delta,Média Roda Direita Trem (°C)_delta,DP Roda Esquerda Trem (°C)_delta,DP Roda Direita Trem (°C)_delta,Roda Esquerda vagão (°C)_delta,Roda Direita vagão (°C)_delta
NEQ0110,735092,4,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,28,15,102.13999999999999,112.49000000000001,17.510000000000005,15.16,114.0,100.0
NEQ0110,735157,1,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,22,16,102.13999999999999,112.49000000000001,17.510000000000005,15.16,88.0,107.0
NEQ0110,735157,2,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,28,16,102.13999999999999,112.49000000000001,17.510000000000005,15.16,165.0,145.0
NEQ0110,735157,3,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,25,14,102.13999999999999,112.49000000000001,17.510000000000005,15.16,91.0,103.0
NEQ0110,735157,4,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,24,18,102.13999999999999,112.49000000000001,17.510000000000005,15.16,143.0,90.0
NEQ0110,735158,1,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,20,18,102.13999999999999,112.49000000000001,17.510000000000005,15.16,196.0,196.0
NEQ0110,735158,2,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,26,20,102.13999999999999,112.49000000000001,17.510000000000005,15.16,86.0,97.0
NEQ0110,735158,3,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,18,16,102.13999999999999,112.49000000000001,17.510000000000005,15.16,114.0,162.0
NEQ0110,735158,4,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,17,19,102.13999999999999,112.49000000000001,17.510000000000005,15.16,120.0,118.0
NEQ0110,735289,1,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,13,14,102.13999999999999,112.49000000000001,17.510000000000005,15.16,209.0,150.0
NEQ0110,735289,2,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,18,20,102.13999999999999,112.49000000000001,17.510000000000005,15.16,105.0,58.0
NEQ0110,735289,3,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,30,22,102.13999999999999,112.49000000000001,17.510000000000005,15.16,113.0,146.0
NEQ0110,735289,4,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,14,22,102.13999999999999,112.49000000000001,17.510000000000005,15.16,205.0,113.0
NEQ0110,735290,1,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,18,16,102.13999999999999,112.49000000000001,17.510000000000005,15.16,108.0,159.0
NEQ0110,735290,2,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,27,25,102.13999999999999,112.49000000000001,17.510000000000005,15.16,91.0,145.0
NEQ0110,735290,3,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,16,14,102.13999999999999,112.49000000000001,17.510000000000005,15.16,127.0,119.0
NEQ0110,735290,4,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,19,20,102.13999999999999,112.49000000000001,17.510000000000005,15.16,153.0,121.0
NEQ0110,735505,1,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,15,16,102.13999999999999,112.49000000000001,17.510000000000005,15.16,107.0,129.0
NEQ0110,735505,2,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,24,22,102.13999999999999,112.49000000000001,17.510000000000005,15.16,80.0,73.0
NEQ0110,735505,3,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,15,20,102.13999999999999,112.49000000000001,17.510000000000005,15.16,95.0,111.0
NEQ0110,735505,4,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,15,16,102.13999999999999,112.49000000000001,17.510000000000005,15.16,109.0,89.0
NEQ0110,735506,1,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,17,17,102.13999999999999,112.49000000000001,17.510000000000005,15.16,114.0,100.0
NEQ0110,735506,2,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,22,18,102.13999999999999,112.49000000000001,17.510000000000005,15.16,116.0,151.0
NEQ0110,735506,3,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,21,13,102.13999999999999,112.49000000000001,17.510000000000005,15.16,111.0,104.0
NEQ0110,735506,4,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,18,19,102.13999999999999,112.49000000000001,17.510000000000005,15.16,135.0,99.0
NEQ0110,735607,1,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,17,22,102.13999999999999,112.49000000000001,17.510000000000005,15.16,70.0,120.0
NEQ0110,735607,2,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,22,13,102.13999999999999,112.49000000000001,17.510000000000005,15.16,88.0,70.0
NEQ0110,735607,3,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,24,14,102.13999999999999,112.49000000000001,17.510000000000005,15.16,101.0,118.0
NEQ0110,735607,4,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,36,24,102.13999999999999,112.49000000000001,17.510000000000005,15.16,78.0,95.0
NEQ0110,735608,1,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,25,21,102.13999999999999,112.49000000000001,17.510000000000005,15.16,67.0,125.0
NEQ0110,735608,2,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,28,24,102.13999999999999,112.49000000000001,17.510000000000005,15.16,124.0,103.0
NEQ0110,735608,3,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,20,19,102.13999999999999,112.49000000000001,17.510000000000005,15.16,110.0,128.0
NEQ0110,735608,4,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,23,20,102.13999999999999,112.49000000000001,17.510000000000005,15.16,106.0,91.0
NEQ0110,735613,1,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,17,19,102.13999999999999,112.49000000000001,17.510000000000005,15.16,81.0,120.0
NEQ0110,735613,2,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,19,22,102.13999999999999,112.49000000000001,17.510000000000005,15.16,56.0,91.0
NEQ0110,735613,3,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,18,11,102.13999999999999,112.49000000000001,17.510000000000005,15.16,115.0,111.0
NEQ0110,735613,4,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,21,20,102.13999999999999,112.49000000000001,17.510000000000005,15.16,126.0,88.0
NEQ0110,735614,1,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,19,19,102.13999999999999,112.49000000000001,17.510000000000005,15.16,130.0,135.0
NEQ0110,735614,2,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,20,15,102.13999999999999,112.49000000000001,17.510000000000005,15.16,56.0,100.0
NEQ0110,735614,3,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,14,15,102.13999999999999,112.49000000000001,17.510000000000005,15.16,114.0,116.0
NEQ0110,735614,4,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,25,26,102.13999999999999,112.49000000000001,17.510000000000005,15.16,120.0,132.0
NEQ0110,735639,1,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,18,17,102.13999999999999,112.49000000000001,17.510000000000005,15.16,70.0,137.0
NEQ0110,735639,2,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,25,17,102.13999999999999,112.49000000000001,17.510000000000005,15.16,103.0,101.0
NEQ0110,735639,3,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,17,13,102.13999999999999,112.49000000000001,17.510000000000005,15.16,101.0,122.0
NEQ0110,735639,4,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,17,17,102.13999999999999,112.49000000000001,17.510000000000005,15.16,92.0,117.0
NEQ0110,735640,1,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,18,17,102.13999999999999,112.49000000000001,17.510000000000005,15.16,103.0,97.0
NEQ0110,735640,2,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,19,23,102.13999999999999,112.49000000000001,17.510000000000005,15.16,85.0,108.0
NEQ0110,735640,3,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,18,19,102.13999999999999,112.49000000000001,17.510000000000005,15.16,105.0,114.0
NEQ0110,735640,4,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,16,20,102.13999999999999,112.49000000000001,17.510000000000005,15.16,145.0,163.0
NEQ0120,735007,1,6.380000000000001,6.13,0.54,0.03000000000000025,7,8,,,,,,
NEQ0120,735007,2,6.380000000000001,6.13,0.54,0.03000000000000025,6,5,,,,,,
NEQ0120,735007,3,6.380000000000001,6.13,0.54,0.03000000000000025,7,7,,,,,,
NEQ0120,735007,4,6.380000000000001,6.13,0.54,0.03000000000000025,9,8,,,,,,
NEQ0120,735008,1,6.380000000000001,6.13,0.54,0.03000000000000025,9,6,,,,,,
NEQ0120,735008,2,6.380000000000001,6.13,0.54,0.03000000000000025,4,2,,,,,,
NEQ0120,735008,3,6.380000000000001,6.13,0.54,0.03000000000000025,6,8,,,,,,
NEQ0120,735008,4,6.380000000000001,6.13,0.54,0.03000000000000025,6,6,,,,,,
NEQ0120,735175,1,6.380000000000001,6.13,0.54,0.03000000000000025,5,7,,,,,,
NEQ0120,735175,2,6.380000000000001,6.13,0.54,0.03000000000000025,4,7,,,,,,
NEQ0120,735175,3,6.380000000000001,6.13,0.54,0.03000000000000025,5,7,,,,,,
NEQ0120,735175,4,6.380000000000001,6.13,0.54,0.03000000000000025,3,6,,,,,,
NEQ0120,735176,1,6.380000000000001,6.13,0.54,0.03000000000000025,6,2,,,,,,
NEQ0120,735176,2,6.380000000000001,6.13,0.54,0.03000000000000025,4,8,,,,,,
NEQ0120,735176,3,6.380000000000001,6.13,0.54,0.03000000000000025,1,4,,,,,,
NEQ0120,735176,4,6.380000000000001,6.13,0.54,0.03000000000000025,6,8,,,,,,
NEQ0120,735197,1,6.380000000000001,6.13,0.54,0.03000000000000025,6,3,,,,,,
NEQ0120,735197,2,6.380000000000001,6.13,0.54,0.03000000000000025,8,4,,,,,,
